Mozilla/5.0 (Android 6; Mobile; CPH2077; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 10; Mobile; RMX3093; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 14; Mobile; ZTE N882E; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 4; Mobile; SM-T670; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 8; Mobile; SM-N915T; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 9; Mobile; ZTE Blade V220; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 12; Mobile; TECNO CH6h; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 11; Mobile; ZTE A2017G; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 11; Mobile; TECNO Mobile KI5q; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 6; Mobile; GT-S7710; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 11; Mobile; CPH2109; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI CAZ-AL00; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 10; Mobile; TECNO-M6S; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 13; Mobile; ZTE 9046; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 10; Mobile; SM-J727T1; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 15; Mobile; SM-T395N; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 15; Mobile; GT-I8200Q; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 12; Mobile; vivo X5Pro V; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 12; Mobile; SM-N9108V; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 11; Mobile; vivo 1802; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 8; Mobile; ZTE BLADE A510; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 15; Mobile; GT-I9300I; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 6; Mobile; ZXY-ZTE N8300; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 10; Mobile; SM-A300X; rv:134.0) Gecko/134.0 Firefox/39.0
